id,label,tweet
1,-1,b'Join army https://t.co/EWWh0QB1aA'
2,0,"b'Jaish almost wiped out, no one willing to head it: Army\nBy Mudassir Kuloo \nhttps://t.co/fbkdjscigy'"
3,1,"b'@ndtv @OnReality_Check In recent past, army seems to jump in the media at every possible opportunity. It was not th\xe2\x80\xa6 https://t.co/M6Al1mabrD'"
4,-1,b'Army distribute stationery items among school children https://t.co/4kmVVpKuWN'
5,-1,b'Join army https://t.co/EWWh0QB1aA'
6,0,"b'Jaish almost wiped out, no one willing to head it: Army\nBy Mudassir Kuloo \nhttps://t.co/fbkdjscigy'"
7,1,"b'@ndtv @OnReality_Check In recent past, army seems to jump in the media at every possible opportunity. It was not th\xe2\x80\xa6 https://t.co/M6Al1mabrD'"
8,-1,b'Army distribute stationery items among school children https://t.co/4kmVVpKuWN'
9,-1,"b'Once again #shoutout in #Palwama and #Shopian, terrorist indian army involves in war crime. #RamadanMubarak\xe2\x80\xa6 https://t.co/MAkqt4QJV0'"
10,-1,"b'Once again #shoutout in #Palwama and #Shopian, terrorist indian army involves in war crime. #RamadanMubarak\xe2\x80\xa6 https://t.co/1uPdCE5n6R'"
11,0,b'#NathuramGodse was the first Terrorist of Independent #India....\nWho orphaned India of its #FatherofNation.......wh\xe2\x80\xa6 https://t.co/JpzdRBhZIB'
12,0,"b""@hussain2577 Let's first agree that  Godse was a terrorist,  only then we can ask whether  Thakur is a terrorist? w\xe2\x80\xa6 https://t.co/iGf4eqFUqk"""
13,-1,b'@rraina1481 @ikamalhaasan Though I don\xe2\x80\x99t believe in Hindu terrorist and Muslim terrorist theory but I think Godse w\xe2\x80\xa6 https://t.co/KSI7o6TiX7'
14,0,"b'India\xe2\x80\x99s first terrorist was Godse, bravo @ikamalhaasan , u have nailed it, let trolls bark'"
15,0,b'Godse was independent India\xe2\x80\x99s first terrorist: Kamal\xc2\xa0Haasan https://t.co/9NLuSIlVrT'
16,-1,b'Rashtriya Aatankwaad Divas!\nWell it is so for supporters of terrorist Nathu Ram Godse.\nMay Godse and his ideology r\xe2\x80\xa6 https://t.co/E3HjCgRB9W'
17,0,b'Kamal slammed for first terrorist was Hindu remark \nhttps://t.co/AYaKz5aDM1'
18,0,b'After 4 years #war on #yemen\n#SaudiArabia is real #terrorist https://t.co/G40tByIdXX'
19,1,b'@BhittaniKhannnn Liberals must be rejoicing on this. They only express their sadness when any terrorist is killed.'
20,1,"b""This is how mother's in Syria are breaking their Fast.Enemies of Islam are hell-bent to destroy and destabilize Mus\xe2\x80\xa6 https://t.co/QYZSQNwNKB"""
21,-1,"b""After seeing horrendous terror attack by #ISIS in #Colombo, #SriLanka, those boys who joined #ISJK (IS's branch in\xe2\x80\xa6 https://t.co/kz9MKFz5oD"""
22,-1,b'@RahulSi89907196 @shraddha254 @Prof_Hariom @SwarajyaMag What about so called ghar wapsi mission !!..is that not ter\xe2\x80\xa6 https://t.co/NwGdtnuPr9'
23,-1,"b'@sana_jaweria For the start, Noam Chomsky (Hegemony or Survival), Eqbal Ahmad( Terrorism:Theirs and Ours).'"
24,0,b'Ready to discuss issue of \xe2\x80\x98terrorism\xe2\x80\x99 with India but New Delhi reluctant to cooperate: Pak  https://t.co/fCQpnURBrl'
25,1,b'9 militants killed in counter-terrorism operation in #Pakistan  https://t.co/4x4K4xYE8A'
26,0,b'Ready to discuss #terrorism with India but #Delhi reluctant to cooperate: Pak\n\nReports Sajjad Hussain  https://t.co/POoaku6BcM'
27,0,"b'Good news coming from Pulwama South Kashmir.\n\nWith the great efforts of Family , Police &amp; Army, two more youth from\xe2\x80\xa6 https://t.co/sINMNRHEbY'"
28,1,b'9 militants killed in counter-terrorism operation in Pakistan https://t.co/rLKkrnj0Mj'
29,0,"b""Ready to discuss issue of 'terrorism' with India but New Delhi reluctant to cooperate: Pak https://t.co/ISAbsAVETl"""
30,0,b'Ready to discuss issue of terrorism with India but New Delhi \xe2\x80\x98reluctant\xe2\x80\x99 to cooperate:\xc2\xa0Pak https://t.co/dfUIgw9rdq'
31,1,b'Bitter Truth about Separatists and Pakistan sponsor Terrorism.\n@WithIbneSena @AdityaRajKaul @majorgauravarya https://t.co/hwZRkYTO56'
32,0,"b'If i will say, Sirf ek din k liye Kashmir ka Chowkidar bana do.  What I will do?  I will free Kashmiris from gun cu\xe2\x80\xa6 https://t.co/fcBl2NTUbF'"
33,0,"b""It's perfect time to acknowledged the world about indian terrorism in #Pakistan.  #WhenKulbhushanExposesIndia\xe2\x80\xa6 https://t.co/IvezCghp2A"""
34,-1,"b'Being a Kashmiri I don\'t want Azadi from India , ""I want Azadi in Kashmir"".\n\nAzadi from Hypocrites,\nAzadi from Khan\xe2\x80\xa6 https://t.co/BYYeBdp49W'"
35,1,"b""This is how mother's in Syria are breaking their Fast.Enemies of Islam are hell-bent to destroy and destabilize Mus\xe2\x80\xa6 https://t.co/QYZSQNwNKB"""
36,-1,b'@ZaidZamanHamid they have covered kashmir issue with the flag of Daesh (ISIS) some goons are spreading that in Kash\xe2\x80\xa6 https://t.co/UZ1HQ7dCB5'
37,0,b'It is for the political parties to introspect and ensure that the system is made people friendly and there has to b\xe2\x80\xa6 https://t.co/YFfHSOTlgm'
38,-1,b'@Kashmir_Monitor * claims Mastermind of terrorism'
39,-1,"b'\xe2\x80\x98Terrorism\xe2\x80\x99 confined to JK only, claims PM\xc2\xa0Modi https://t.co/8ij2A88khw https://t.co/UuRwXtHjVB'"
40,1,"b""Clashes broke out at encounter site in Hathlangoo village of North Kashmir's Sopore after a militant was killed in\xe2\x80\xa6 https://t.co/Z4XnplpdsI"""
41,1,b'Visuals From ground zero 2 militants killed in #Panzgam #Awantipora during encounter between militants &amp; security f\xe2\x80\xa6 https://t.co/c0GghPISyI'
42,-1,b'Mughal Road becomes \xe2\x80\x98symbol of harassment\xe2\x80\x99 for #kashmir-bound vehicles\n\nSecurity checking compels #commuters to wai\xe2\x80\xa6 https://t.co/T0pShHG1QJ'
43,-1,"b'DGP chairs security review meetings in #Pulwama, #Shopian  https://t.co/kJVHSs6V7E'"
44,-1,b'A gunfight is underway between militants and the security forces in Panzgam area of south Kashmir\xe2\x80\x99s Pulwama distric\xe2\x80\xa6 https://t.co/U9YGDdfulr'
45,-1,"b'Encounter started between militants and security forces including 55RR, SOG of @JmuKmrPolice &amp; @crpfindia at Panzga\xe2\x80\xa6 https://t.co/KWDf3L24Rb'"
46,-1,b'Transferring Zakura land to security forces will squeeze civic activities: Political\xc2\xa0parties https://t.co/8CsOmr9WI8'
47,-1,"b'DGP visits south Kashmir, reviews security\xc2\xa0situation https://t.co/ow2jcode1g https://t.co/298XJgvjtp'"
48,-1,"b""@jkinformation @imranrezaansari I don't think in Kashmir we have any administration who support Civil disobedience,\xe2\x80\xa6 https://t.co/B6QhTEhRXc"""
